,Temperature,L,R,A_M,Color,Spectral_Class,Type,Predictie LDA
0,2840,0.00065,0.11,16.98,Red,1,0,0
1,2637,0.00073,0.127,17.22,Red,1,0,0
2,2600,0.0004,0.096,17.4,Red,1,0,0
3,2650,0.00069,0.11,17.45,Red,1,0,0
4,2700,0.00018,0.13,16.05,Red,1,0,0
5,3600,0.0029,0.51,10.69,Red,1,1,1
6,3129,0.0122,0.3761,11.79,Red,1,1,1
7,3134,0.0004,0.196,13.21,Red,1,1,1
8,3575,123000.0,45.0,-6.78,Red,1,4,4
9,3574,200000.0,89.0,-5.24,Red,1,4,4
10,3625,184000.0,84.0,-6.74,Red,1,4,4
11,33750,220000.0,26.0,-6.1,Blue,4,4,3
12,3490,270000.0,1520.0,-9.4,Red,1,5,5
13,3180,0.001,0.35,11.76,Red,1,1,1
14,2890,0.0034,0.24,13.46,Red,1,1,1
15,3342,0.0015,0.307,11.87,Red,1,1,1
16,2621,0.0006,0.098,12.81,Red,1,1,1
17,3158,0.00135,0.161,13.98,Red,1,1,1
18,7100,0.00029,0.012,14.09,White-Yellow,3,2,2
19,3610,132000.0,1522.0,-10.86,Red,1,5,5
20,3553,145000.0,1324.0,-11.03,Red,1,5,5
21,4015,282000.0,1534.0,-11.39,Red,6,5,5
22,3625,74000.0,876.0,-10.25,Red,1,5,5
23,12912,0.00071,0.00945,12.83,Blue white,4,2,2
24,14732,0.00011,0.00892,12.89,white,3,2,2
25,7723,0.00014,0.00878,14.81,White,2,2,2
26,12984,0.00088,0.00996,11.23,Blue White,4,2,2
27,29560,188000.0,6.02,-4.01,Blue-white,4,3,3
28,8945,38.0,2.487,0.12,Blue-White,2,3,3
29,14060,1092.0,5.745,-2.04,Blue-white,2,3,3
30,16390,1278.0,5.68,-3.32,Blue-white,4,3,3
31,25070,14500.0,5.92,-3.98,Blue-white,4,3,3
32,3225,0.00076,0.121,19.63,Red,1,0,0
33,2935,0.00087,0.0932,16.88,Red,1,0,0
34,2861,0.00019,0.0899,16.71,Red,1,0,0
35,2856,0.000896,0.0782,19.56,Red,1,0,0
36,2731,0.000437,0.0856,18.09,Red,1,0,0
37,3095,0.00019,0.492,10.87,Red,1,1,1
38,3607,0.00023,0.38,10.34,Red,1,1,1
39,3100,0.008,0.31,11.17,Red,1,1,1
40,2989,0.0087,0.34,13.12,Red,1,1,1
41,3542,0.0009,0.62,14.23,Red,1,1,1
42,3243,0.0023,0.73,14.75,Red,1,1,1
43,16787,246730.0,62.0,-6.35,Blue,5,4,4
44,18734,224780.0,46.0,-7.45,Blue,5,4,4
45,9892,593900.0,80.0,-7.262,Blue,5,4,4
46,10930,783930.0,25.0,-6.224,Blue,5,4,4
47,23095,347820.0,86.0,-5.905,Blue,5,4,4
48,21738,748890.0,92.0,-7.346,Blue,5,4,4
49,24145,382993.0,1494.0,-8.84,Blue-white,4,5,5
50,38234,272830.0,1356.0,-9.29,Blue,5,5,5
51,32489,648430.0,1948.5,-10.84,Blue,5,5,5
52,27739,849420.0,1252.0,-7.59,Blue-white,4,5,5
53,3523,0.0054,0.319,12.43,Red,1,1,1
54,3598,0.0027,0.67,13.667,Red,1,1,1
55,3142,0.00132,0.258,14.12,Red,1,1,1
56,3496,0.00125,0.336,14.94,Red,1,1,0
57,3324,0.0065,0.471,12.78,Red,1,1,1
58,3463,0.0027,0.675,14.776,Red,1,1,0
59,16790,0.0014,0.0121,12.87,Blue,4,2,2
60,15680,0.00122,0.0114,11.92,Blue,4,2,2
61,14982,0.00118,0.0113,12.23,Blue,4,2,2
62,13340,0.00109,0.0116,12.9,Blue,4,2,2
63,18340,0.00134,0.0124,11.22,Blue,4,2,2
64,3218,0.000452,0.0987,17.34,Red,1,0,0
65,3453,0.000621,0.0773,17.08,Red,1,0,0
66,2889,0.000352,0.0973,16.93,Red,1,0,0
67,25390,223000.0,57.0,-5.92,Blue,5,4,4
68,11567,251000.0,36.0,-6.245,Blue,5,4,4
69,12675,452000.0,83.0,-5.62,Blue,5,4,4
70,2835,0.00034,0.0918,16.96,Red,1,0,0
